de,en,predicted_de
"Eine Frau sieht zu, während ein Mann mit verschränkten Armen spricht.",A woman looks on as a man with folded arms is talking.,"Der Frau arbeitet, um ein Mann mit Foldenarmen zu kö"
Ein Mann mittleren Alters in weißen Shorts und Flip-Flops blickt die Straße hoch.,Middle-aged man in white shorts and flip-flops looking up the road,"Er wird ein mittlerer Mann, weißes Schuhe und Flip-"
"Zwei Männer in dunkeloranger Kleidung und Sandalen stehen neben einer großen, reflektierenden Skulptur.",Two men dressed in dark orange coverings and sandals stand near a large reflective sculpture.,Zwei Mann mit einem schwarzen Orangerückgaben und Schuhn
Zwei Personen vergnügen sich auf ihrem Boot.,Two people are spending good time in their boat.,"Zwei Personen gibt eine gutes Elternzeit im Bote.
"
Ein Mann und eine Frau stehen in einer Stadt auf der Straße.,A man and a woman are standing on the street in the city.,Ein Mann und eine Frau standen am Stadtplatz im Stadt
Feuerwehrmänner kommen aus einer U-Bahnstation.,Firemen emerge from a subway station.,"Feuermeister sehen nach einem U-Bahnzentrum.
"
"Vier Männer, drei von ihnen mit Gebetskappen, sitzen auf einer blau und olivgrün gemusterten Matte.","Four men, three of whom are wearing prayer caps, are sitting on a blue and olive green patterned mat.","Vier Männer, drei von ihnen hatte sich in e"
"Das ist eine große Menschengruppe, die im Freien auf Bänken sitzt.",This is a large group of people sitting outside on benches.,Das sind ein großes Gruppe der Menschen mit Seinen Hügeln
"Ein Mann in einem roten Shirt geht an einem türkis und weiß karierten Imbissladen Namens ""32 De Neude"" vorbei.","A man in a red shirt walks past a turquoise and white checkered food establishment called ""32 De Neude.""","Er ein Mann, die roten Schüssel verwandt, schlä"
Ärzte bei einer Art Operation.,Doctors performing some type of surgery.,"Arzte performiert eine etape der Chirurgie.
"
Ein älterer Mann mit einer Zigarette im Mund und einer Mütze inspiziert seine Kamera.,An older man with a cigarette in his mouth and a ball cap inspects his camera.,"Er ist ein älterer Mann, mit dem Kaffee im Kopf und"
Kleines Orchester spielt im Freien mit einem Gitarrenkoffer auf dem Boden.,Small orchestra playing with open violin case in front,Kleine Orchester spielen mit einem ausgeführten Violin-
Ein Mann in einem roten Anzug tanzt mit einer Dame.,A man with a red suit is dancing with a lady.,"Ein Mann mit einem roten Suits schlägt mit einer Dame.
"
Zwei Personen betrachten die Lichter einer Stadt bei Nacht.,Two people look on in the nighttime at the lights in a city.,Zwei Personen lindern im nachmittageminnicht beim Lichten von
"Zwei Motocrossfahrer in voller Schutzkleidung, einer von ihnen ist nach einem Sprung in der Luft, der andere blickt auf sein Motorrad hinunter.","Two motocross bikers wearing full protective gear, with one in midair after a jump and the other looking down at his motorcycle.","Fünf Autoschläger mit Schutzvorsorge, beide in"
Mehrere Männer in Orange versammeln sich im Freien für ein gesellschaftliches Ereignis.,Several men dressed in orange gather for an outdoor social event.,"Sie sind vier Männer, die in Orange schauen, um e"
Zwei junge Mädchen rennen auf einem Gehsteig vor einem Ziegelgebäude mit Plakaten.,Two young girls run on a sidewalk outside of a brick building with banners on it.,Zwei junge Mädchen spielen an dem Straße bei einer
Zwei Personen klettern einen steilen Berg hoch.,Two individual climbing up a steep mountain.,Zwei Personen mit einem steigen Bergeckanntnis geben den Berg
Ein Kind liegt auf dem Boden neben einem Sportwagen.,A child is laying on the ground next to a stroller.,"Ein Kind liegt an der Platz bei einem Stückchen.
"
Ein Hund bettelt bei einem Mann und einer Frau.,A dog begging to a man and a woman.,Eine Hund begißt zu einer Frau und ihre Mutter
"Viele Leute auf dem Markt, die verschiedene Dinge betrachten.",A lot of people at the market looking at various different things.,Vielen Menschen am Markt beim verschiedensten Wertigen sehen
Zwei junge Männer spielen E-Gitarren auf einer Bühne.,Two young men play electric guitars on stage.,Zwei jungen Kameraden spielen elektrische Guitarschlä
Ein tätowierter Mann gießt Bier aus einer Flasche in den Mund eines jungen Mannes.,A tattooed man pouring beer out of a bottle into a young man's mouth.,Ein Tattooisten lebt und kostet eine Brauerei in der
Zwei Personen stehen draußen neben aufblasbaren Spielsachen und Baggern.,Two people standing outside next to blow up toys and dumpsters.,Zwei Personen befinden sich auf dem Gebote zur Blutung
Vier Personen fahren Rad auf einem Radweg neben einer viel befahrenen Straße.,Four people are riding bicycles on a bike path near a busy street.,Vier Personen rissen im Flugradweg bei einem braunen
Frau mit Brille in einem pinken Hemd.,Woman in a pink shirt and wearing glasses.,Frauin mit einem roten T-Shirt und Gläserne Haut.
Eine Frau in einem roten Shirt hebt ihren Arm in Richtung der unten vorbeiziehenden Menge.,A woman in a red shirt raising her arm to the passing crowd below.,"Eine Frau beim roten Teppich das Arm gesteigt, um"
Ein Junge in weißen Shorts springt in einen See oder einen Fluss.,A boy in white shorts is jumping into a lake or river.,Ein Kind im weißen Schuhe spielte an einer See oder
Ein kleines Mädchen blickt durch ein Teleskop auf den Strand.,A little girl is looking through a telescope at the beach.,Ein kleines Mädchen liest den Sonne mit einem Telefon
Mehrere Bauarbeiter in orangen Sicherheitswesten graben im Boden.,Several construction workers with orange safety vests are digging into the ground.,"Sie sind sechs Baumeister, die in grünen Hilfezustä"
Eine Person mit Kapuze steht vor einem heruntergekommenen Gebäude.,A person in a hood is standing in front of a run down building.,Ein Mensch im Hals befindet sich unter einem wiederau
Bauarbeiter streiken gegen PM Construction Services.,Construction workers picketing against PM Construction Services.,Arbeitnehmer in der Bauarbeiten protestieren vor dem Prä
Ein Mann auf einem Rennpferd mit anderen Männern auf Pferden hinter ihm.,A man riding a running horse with some other men doing the same behind him.,Ein Mann mit einem Laufhund immer bei anderen Menschen wä
Ein Afroamerikaner geht die Straße hinunter.,An African American man walking down the street.,"Un kleiner Afrikaner auf dem Strasse trinket.
"
Zwei Nonnen posieren für ein Foto.,Two nuns are posing for a picture.,"Zwei Nunen sind fotografieren, um einen Bild zu k"
Eine Frau mit neonfarbenen Kopfhörern schreibt in einen Block.,A woman with neon headphones writes in a notebook.,Ein Frau mit neonen Hühnerkopf-Kamera legt e
Eine Frau in einem grün gemusterten Hemd telefoniert mit dem Handy.,A woman in a green-patterned shirt is talking on a cellphone.,Der Frau mit einem grünen Punkteressen spielt über die
Ein kleines afrikanisches Kind trägt ein jüngeres Kind auf dem Rücken.,A small African child carries a younger child on his back.,Eine kleines afrikanische Kind läuft ein junges Kind mit
"Eine Gruppe von Leuten, die auf Stühlen sitzen.",A group of people are sitting in chairs.,"Eine Gruppe sind im Garten vorhanden, bevor Sie mit einem"
Eine Mann mit einem Kopftuch steht auf der Straße vor seinen Sachen.,A person in a bandanna stands on the street in front his things.,Un Mensch im Bandannensteg standt zu dem Stadtmitte bei
Eine Person orientalischen Aussehens in einem roten Shirt und schwarzer Hose hockt über einer Handtasche auf dem Beton.,An oriental person in a red shirt and black pants crouching over a purse on concrete.,Un orientale en robe rouge et noir couchant sur un sac de poule sur
Ein schwarzer und ein brauner Hund mit einem Ball.,A black dog and a brown dog with a ball.,Ein schwarzer Hund und eine braunen Hund mit einem Ball.
Ein Mann mit einer schwarzen Weste hält ein Modellflugzeug,A man with a black vest holding a model airplane,"Ein Mann mit einem schwarzen Vest, bei dem er sich um einen"
Ein Mann auf einem Feld mit einem Flugzeug in Sicht.,A man in a field with an airplane in view.,"Der Mann im Feld mit einem Luftschiff befindet.
"
Ein Mann in einem Anzug mit Krawatte und eine Frau mit Gepäck gesellen sich zu anderen Wartenden in der Londoner U-Bahn.,A man in a suit and tie and a woman with luggage join others in waiting in the London Underground.,"Eine Mann mit Schutzkopf und Tischbauch einiges,"
Ein Kind geht auf dem Gehsteig und trägt ein paar amerikanische Flaggen.,A kid is walking down the sidewalk with a few American flags.,"Ein Kind läßt sich an der Straße gehen, mit vier"
Ein schwarzer Hund läuft auf grünem Gras mit einem Spielzeug im Maul.,A black dog runs on green grass with a toy in his mouth.,Ein schwarze Hund spielt mit grünen Gärten eine
Ein orientalischer Reisender wartet am Wechselschalter bis er dran ist.,An Oriental traveler awaits his turn at the currency exchange.,Un Orientaux se déploie à sa propre poule pour prendre son
Ein Hund dreht sich auf dem Gras um einem fliegenden Ball nachzulaufen.,A dog turns on the grass to persue a flying ball.,"Der Hund spielt an den Gras, um einen Fliegenball zu"
Eine Gruppe von Studenten sitzt und hört der Sprecherin zu.,A group of students sit and listen to the speaker.,Eine Gruppe der Studenten sind in einem Raum gestellt und spiel
Menschen fahren bei Nacht mit Mopeds die Straße hinunter.,People are driving scooters down the street at night.,"Personen fahren Scooter mit Stern im Strand.
"
"Ein großes, graues Seedeck und ein Typ auf dem Fahrrad.",A large gray sea deck and a guy on the bike.,"Un grand blanc de mer et un homme à la biciclete.
"
"Ein Mann in einem orangen Shirt und ein blonder Junge fahren mit anderen Personen in einem ""Pullman"".","A man in an orange shirt and a blond boy are riding with other people on a ""Pullman"" vehicle.",Un mensch im Orange-Schützenblatt und ein junge Boy er
Ein junger Mann und Frauen nahe einer großen Metallskulptur,A young man and women near a large metal sculpture,Ein junges Mädchen und Frauen befindet sich unter e
"Ein Boot mit roten, weißen und blauen Segeln dockt an einem Pier an.","A boat with red, white and blue sails docking at a pier.","Königskoffer mit roten, weißen und blauem Schiffah"
Ein Mann mit einer schwarzen Mütze macht ein Foto auf einer belebten Straße.,A man wearing a black hat taking a photo in a busy street.,Der Mann mit dem schwarzen Haut geht ein Bild im grünen Platz
Ein Mann steht auf einer belebten Straße und sieht sich mit in den Nacken gelegten Kopf um.,A man is standing on a busy street looking with his head tilted up.,"Er standt auf einem hessen Strasse, bevor er sich mit se"
Eine Frau in Schwarz trägt ein kleines Mädchen in einem gelben Kleid auf ihren Schultern.,A woman in black has a little girl in a yellow dress on her shoulders.,Eine Frau mit Schwarzem Schuh hat einen Kind im grünen Trunk be
Eine Gruppe von Menschen baut auf der Straße Instrumente auf.,A group of people on the street setting up instruments.,"Eine Gruppe auf dem Straße setzt Instrumenten.
"
"Ein Offroad-Biker hilft einem anderen, der hingefallen ist, auf.",A fallen dirt biker is aided by another.,"Ein Fahrradfahrer, die von der Stadt vergangen hatte"
"Drei Personen gehen einen Gebirgspfad hoch, eine davon blickt auf ihre Kamera.","Three people are walking up a mountain trail, while one woman is looking at her camera.","Drei Personen trunden ums Gebirge-Nadelauf, w"
Mehrere asiatische Männer in schwarzer Kleidung in einer Art Station.,Several Asian men wearing black clothing in some kind of station.,"Sie sind vierasasiatische Männer, die schwarze Kleid"
Eine Frau in einem roten Rock geht auf der Straße mit Graffiti im Hintergrund.,A woman in a red skirt is walking on the street with graffiti in the background.,"Ein Frau mit einem roten Skirt wärft am Strasse, be"
Eine rhythmische Sportgymnastin in einem blauen und pinken Outfit vollführt eine Bewegung mit dem Band.,A rhythmic gymnast in a blue and pink outfit performs a ribbon routine.,Eine Rhythmusgymnastin im blauen und roten Unterneh
"Leute, die sich in einem Springbrunnen abkühlen, eine Frau in einem weißen Kleid sitzt am Rand und sieht zu.","People cooling off in a fountain, a woman in a white dress sits on the edge looking on.",Sie sind mit einem schwarzen Blauen Tuxedo im Garten verw
Ein Mann sitzt auf einer Bank unter einem großen Baum.,A man sitting on a bench under a large tree.,"Ein Mann sich am Bahnhof befindet, um eine große T"
"Drei Männer in rot und weiß gestreiften Shirts, weißen Hosen und mit schwarzen Hüten halten Flaggen.","Three men in red and white striped shirts, white pants, and black hats hold flags.","Drei Mannen aus roten und weissen Schuhe, grüne T"
Leute bewundern ein Kunstwerk.,People are admiring a work of art.,"Menschen müssen eine Kunstwerke begegnen, wie"
Geschäftiges asiatisches Einkaufszentrum mit Papierlaternen und Einkäufern.,Busy Asian mall with paper lanterns and shoppers.,Künstlich Ärzte-Gelände aus Asien
Diese Personen klettern die Stufen zum Berg hoch,These people are climbing the steps to go the mountain,"Sie arbeiten an, den Zitrone zu summen, um der Berg ins E"
"Ein kleines Kind in Blau sieht zu Bäumen, die in der Ferne stehen.",A small child in a blue outfit is looking off at some trees in the distance.,Eine kleine Kinder im blauen Schuhe wird am Mittag ins H
Leute betrachten Kinderspielzeug in einem Geschäft.,People are looking at children's toys in a store.,"Kinderbaumen müssen im Laden gerade sehen.
"
Ein Mann mit Hut spielt auf der Straße Schlagzeug.,A man with a hat is playing the drum in the street.,"Ein Mann mit Hase spielt die Trommeln am Straße.
"
Ein Junge steht mit drei Mädchen.,A boy stands with three girls.,"Ein Boy trug mit drei Mädchen.
"
Ein lächelnder Mann mit Rucksack streckt vor einem Jungen mit Brille die Fäuste in die Luft.,A smiling man wearing a backpack holds his fists up in front of a boy in glasses.,Der kleine Mann mit der Haut schreibt ihren Knochen z
