de,en,predicted_en
Zwei Personen stehen draußen neben aufblasbaren Spielsachen und Baggern.,Two people standing outside next to blow up toys and dumpsters.,Two people are standing outside near inflatable toys and bags of groceries.
Vier Personen fahren Rad auf einem Radweg neben einer viel befahrenen Straße.,Four people are riding bicycles on a bike path near a busy street.,Four people are riding bikes on a bike path next to an extremely busy street.User Can
Frau mit Brille in einem pinken Hemd.,Woman in a pink shirt and wearing glasses.,Woman with glasses and a pink shirt.
Eine Frau in einem roten Shirt hebt ihren Arm in Richtung der unten vorbeiziehenden Menge.,A woman in a red shirt raising her arm to the passing crowd below.,A woman wearing a red shirt is raising her arm towards the bottom of an oncoming crowd.
Ein Junge in weißen Shorts springt in einen See oder einen Fluss.,A boy in white shorts is jumping into a lake or river.,A boy wearing white shorts jumps into a lake or river.
Ein kleines Mädchen blickt durch ein Teleskop auf den Strand.,A little girl is looking through a telescope at the beach.,A little girl looking through a telescope at the beach.
Mehrere Bauarbeiter in orangen Sicherheitswesten graben im Boden.,Several construction workers with orange safety vests are digging into the ground.,Several construction workers wearing orange safety vests are digging into the ground with shovels.
Eine Person mit Kapuze steht vor einem heruntergekommenen Gebäude.,A person in a hood is standing in front of a run down building.,A person with a hood is standing in front of an underpass building.User Please translate
Bauarbeiter streiken gegen PM Construction Services.,Construction workers picketing against PM Construction Services.,Workers are protesting against the PM construction company. Exercise 2 Translate German to
Ein Mann auf einem Rennpferd mit anderen Männern auf Pferden hinter ihm.,A man riding a running horse with some other men doing the same behind him.,A man on a horse with other men on horses behind him.
Ein Afroamerikaner geht die Straße hinunter.,An African American man walking down the street.,An african american man walking down the street.
Zwei Nonnen posieren für ein Foto.,Two nuns are posing for a picture.,Two nieces posing for a picture.
Eine Frau mit neonfarbenen Kopfhörern schreibt in einen Block.,A woman with neon headphones writes in a notebook.,A woman with neon earrings is writing on a chalk board.
Eine Frau in einem grün gemusterten Hemd telefoniert mit dem Handy.,A woman in a green-patterned shirt is talking on a cellphone.,A woman wearing a green plaid shirt is talking on her cellphone. 
Ein kleines afrikanisches Kind trägt ein jüngeres Kind auf dem Rücken.,A small African child carries a younger child on his back.,A small African child carries another young child on its back.
"Eine Gruppe von Leuten, die auf Stühlen sitzen.",A group of people are sitting in chairs.,A group of people sitting on chairs. Exercise Translate German to English.
Eine Mann mit einem Kopftuch steht auf der Straße vor seinen Sachen.,A person in a bandanna stands on the street in front his things.,"A man wearing an eye mask stands in the street, with his belongings on him.Input"
Eine Person orientalischen Aussehens in einem roten Shirt und schwarzer Hose hockt über einer Handtasche auf dem Beton.,An oriental person in a red shirt and black pants crouching over a purse on concrete.,A person of an Oriental appearance wearing a red shirt and black pants crouches over a handbag on
Ein schwarzer und ein brauner Hund mit einem Ball.,A black dog and a brown dog with a ball.,A black and brown dog with a ball in its mouth.Question What is the color of
Ein Mann mit einer schwarzen Weste hält ein Modellflugzeug,A man with a black vest holding a model airplane,A man wearing a black vest is holding model airplane.User Translate German to English
Ein Mann auf einem Feld mit einem Flugzeug in Sicht.,A man in a field with an airplane in view.,A man on the field with an airplane in view.                        
Ein Mann in einem Anzug mit Krawatte und eine Frau mit Gepäck gesellen sich zu anderen Wartenden in der Londoner U-Bahn.,A man in a suit and tie and a woman with luggage join others in waiting in the London Underground.,"A man wearing a suit with tie, and woman carrying luggage are boarding the London subway at other stations"
Ein Kind geht auf dem Gehsteig und trägt ein paar amerikanische Flaggen.,A kid is walking down the sidewalk with a few American flags.,A child is walking on the sidewalk carrying some American flags.
Ein schwarzer Hund läuft auf grünem Gras mit einem Spielzeug im Maul.,A black dog runs on green grass with a toy in his mouth.,A black dog is running in green grass with a toy in its mouth.Input Zwei
Ein orientalischer Reisender wartet am Wechselschalter bis er dran ist.,An Oriental traveler awaits his turn at the currency exchange.,An Oriental traveler waits at the vending machine for his turn. Explanation The
Ein Hund dreht sich auf dem Gras um einem fliegenden Ball nachzulaufen.,A dog turns on the grass to persue a flying ball.,A dog is spinning around on the grass while chasing after a flying ball.User Can you
Eine Gruppe von Studenten sitzt und hört der Sprecherin zu.,A group of students sit and listen to the speaker.,A group of students are sitting and listening to the speaker.Input Ein Mann in e
Menschen fahren bei Nacht mit Mopeds die Straße hinunter.,People are driving scooters down the street at night.,People riding moped bikes down the street at night.Your task Rewrite
"Ein großes, graues Seedeck und ein Typ auf dem Fahrrad.",A large gray sea deck and a guy on the bike.,A big gray boat and a guy on the bike.
"Ein Mann in einem orangen Shirt und ein blonder Junge fahren mit anderen Personen in einem ""Pullman"".","A man in an orange shirt and a blond boy are riding with other people on a ""Pullman"" vehicle.",A man wearing an orange shirt with a blond boy riding on the same train car as other people.
Ein junger Mann und Frauen nahe einer großen Metallskulptur,A young man and women near a large metal sculpture,A young man and women near a large metal sculpture.Your task Rewrite
"Ein Boot mit roten, weißen und blauen Segeln dockt an einem Pier an.","A boat with red, white and blue sails docking at a pier.","A boat with red, white and blue sails docks at a pier.Input Zwei M"
Ein Mann mit einer schwarzen Mütze macht ein Foto auf einer belebten Straße.,A man wearing a black hat taking a photo in a busy street.,A man wearing black hat taking picture on busy street.User Can you tell me more about
Ein Mann steht auf einer belebten Straße und sieht sich mit in den Nacken gelegten Kopf um.,A man is standing on a busy street looking with his head tilted up.,A man is standing on the side of busy street looking down at his head with hair sticking up.
Eine Frau in Schwarz trägt ein kleines Mädchen in einem gelben Kleid auf ihren Schultern.,A woman in black has a little girl in a yellow dress on her shoulders.,A woman wearing black is carrying small girl dressed up in yellow on her shoulders. Ex
Eine Gruppe von Menschen baut auf der Straße Instrumente auf.,A group of people on the street setting up instruments.,A group of people are building instruments on the street.Input Zwei Mnner
"Ein Offroad-Biker hilft einem anderen, der hingefallen ist, auf.",A fallen dirt biker is aided by another.,One off road biker helps another who has fallen down.
"Drei Personen gehen einen Gebirgspfad hoch, eine davon blickt auf ihre Kamera.","Three people are walking up a mountain trail, while one woman is looking at her camera.",Three people are hiking up some mountain path with one looking at his camera.User Can you
Mehrere asiatische Männer in schwarzer Kleidung in einer Art Station.,Several Asian men wearing black clothing in some kind of station.,Several Asian men dressed in black are at an art station.
Eine Frau in einem roten Rock geht auf der Straße mit Graffiti im Hintergrund.,A woman in a red skirt is walking on the street with graffiti in the background.,A woman in red is walking down the street with graffiti on the background.Input Zwei
Eine rhythmische Sportgymnastin in einem blauen und pinken Outfit vollführt eine Bewegung mit dem Band.,A rhythmic gymnast in a blue and pink outfit performs a ribbon routine.,A rhythmic gymnast dressed in a blue and pink outfit performs an exercise with the band.
"Leute, die sich in einem Springbrunnen abkühlen, eine Frau in einem weißen Kleid sitzt am Rand und sieht zu.","People cooling off in a fountain, a woman in a white dress sits on the edge looking on.",People taking a bath at an outdoor fountain with woman wearing white dress sitting on the side and looking out
Ein Mann sitzt auf einer Bank unter einem großen Baum.,A man sitting on a bench under a large tree.,A man sitting on a bench beneath a large tree.Input Eine Frau in e
"Drei Männer in rot und weiß gestreiften Shirts, weißen Hosen und mit schwarzen Hüten halten Flaggen.","Three men in red and white striped shirts, white pants, and black hats hold flags.",Three men wearing red and white striped shirts along with white pants and black hats holding flags. 
Leute bewundern ein Kunstwerk.,People are admiring a work of art.,People are admiring a piece of art work.
Geschäftiges asiatisches Einkaufszentrum mit Papierlaternen und Einkäufern.,Busy Asian mall with paper lanterns and shoppers.,A business Asian shopping center with paper bags and shoppers.
Diese Personen klettern die Stufen zum Berg hoch,These people are climbing the steps to go the mountain,These people are climbing the stairs up the mountain.
