en,de,ende
A baby playing with her toys looking at a black and white cat.,Ein Baby spielt mit seinem Spielzeug und betrachtet eine schwarz-weiße Katze.,Ein Baby spielt mit ihren Spielzeugen und schaut auf eine schwarz-weiße Katze.
A teenage girl is carrying a guitar in the woods.,Eine Teenagerin trägt eine Gitarre im Wald.,Ein junges Mädchen trägt eine Gitarre im Wald.
A man wearing a backpack is walking down the street.,Ein Mann mit einem Rucksack geht eine Straße hinunter.,Ein Mann mit einem Rucksack geht durch die Straße.
Two men are having a conversation in front of a souvenir shop in Rome.,Zwei Männer unterhalten sich vor einem Souvenirgeschäft in Rom.,Zwei Männer haben ein Gespräch vor einem Souvenirladen in Rom.
A woman in black is holding something in her mouth.,Ein Frau in Schwarz hält etwas im Mund.,Eine schwarze Frau hält etwas in ihrem Mund.
"A group of people sit outdoors around a small, short table.","Eine Gruppe von Leuten sitzt im Freien um einen kleinen, kurzen Tisch.","Eine Gruppe von Menschen sitzt im Freien um einen kleinen, kurzen Tisch."
A man riding his bike up the ramp.,Ein Mann fährt sein Fahrrad die Rampe hoch.,Ein Mann fährt sein Fahrrad auf der Rampe.
A woman wearing a black tank top and a cross necklace stares off into the distance near sunset.,Eine Frau in einem schwarzen Tank-Top mit einem Kreuz-Halsband blickt kurz vor Sonnenuntergang in die Ferne.,Eine Frau mit einem schwarzen Tanktop und einer Kreuz Kette blickt nahe dem Sonnenuntergang in die Ferne.
Three young girls are walking together down the sidewalk.,Drei junge Mädchen gehen gemeinsam auf dem Gehsteig.,Drei junge Mädchen gehen zusammen auf dem Gehweg.
A woman with long hair is at a graduation ceremony.,Eine Frau mit langen Haaren bei einer Abschlussfeier.,Eine Frau mit langen Haaren ist auf einer Abschlussfeier.
A man is skateboarding on a road while another man watches from the sidewalk.,Ein Mann fährt auf einer Straße Skateboard während ihm ein anderer Mann vom Gehsteig aus zusieht.,"Ein Mann ist auf einer Straße Skateboarding, während ein anderer Mann vom Bürgersteig beobachtet."
A man in a black leather coat is standing in front of a sign.,Ein Mann in einer schwarzen Lederjacke steht vor einem Schild.,Ein Mann in einem schwarzen Ledermantel steht vor einem Schild.
A male and female singing a song together outside.,Ein Mann und eine Frau singen gemeinsam im Freien.,Ein Mann und eine Frau singen zusammen draußen ein Lied.
"A young girl with curly blond-hair and wearing a white top lies in the grass, holding a flower stem.",Ein junges Mädchen mit gelockten blonden Haaren in einem weißen Top liegt im Gras und hält einen Blumenstiel.,Ein junges Mädchen mit locker blondem Haar und einem weißen Oberteil liegt im Gras und hält einen Blütenstamm.
A young women's soccer team with green uniforms is performing a stretching exercise.,Eine Frauenfußballmannschaft in grünen Trikots macht eine Dehnübung.,Ein junges Frauenfußballteam mit grünen Uniformen macht eine Stretching-Übung.
A woman acts out a dramatic scene in public behind yellow caution tape.,Eine Frau spielt in der Öffentlichkeit eine dramatische Szene hinter gelbem Absperrband.,Eine Frau spielt eine dramatische Szene in der Öffentlichkeit hinter gelbem Vorsichtsband.
"A man crouches while doing chores, as pigeons wander in the background.",Ein Mann bückt sich und macht Hausarbeiten während im Hintergrund Tauben vorbeilaufen.,"Ein Mann schnarrt während der Arbeit, während Tauben im Hintergrund wandern."
A group of men standing on a field of black balls.,Eine Gruppe von Männern steht auf einem Feld aus schwarzen Bällen.,"Eine Gruppe von Männern, die auf einem Feld von schwarzen Kugeln stehen."
A busy day for citizens at a local city court.,Ein geschäftiger Tag auf einem städtischen Platz.,Ein geschäftiger Tag für Bürger an einem örtlichen Stadtgericht.
A man with a cigarette in his mouth fixing a plate of food.,Ein Mann mit einer Zigarette im Mund macht sich einen Teller mit Essen.,"Ein Mann mit einer Zigarette im Mund, der eine Platte mit Essen fixiert."
Two groups of swimmers wade out.,Zwei Gruppen von Schwimmern waten ins Wasser.,Zwei Gruppen von Schwimmern wandern aus.
People sit on a bench in a city square with random objects including a lamp and a dressmakers form standing nearby.,Menschen sitzen auf einer Bank auf einem Platz in der Stadt während in der Nähe zufällige Gegenstände wie eine Lampe und ein Mannequin stehen.,Menschen sitzen auf einer Bank auf einem Stadtplatz mit zufälligen Objekten einschließlich einer Lampe und einer Kleiderschmiedeform stehen in der Nähe.
The workers are surrounding a hole with a bucket.,Die Arbeiter stehen um ein Loch mit einem Eimer herum.,Die Arbeiter umgeben ein Loch mit einem Eimer.
A shirtless man in black shorts is standing on the rocky shore to a large body of water.,Ein Mann ohne Hemd in schwarzen Shorts steht an einer felsigen Küste neben einem großen Gewässer.,Ein Shirtloser Mann in schwarzen Shorts steht auf dem felsigen Ufer zu einem großen Wasser.
A guard is on the look out while on duty.,Ein Wachmann hält Wache während seiner Schicht.,Während der Dienstzeit ist ein Wachmann auf dem Blick.
"People playing pool, one is a man wearing a blue shirt and the others are women but their heads are not within the camera shot.","Leute spielen Pool, einer davon ist ein Mann in einem blauen Hemd, der Rest sind Frauen, deren Köpfe allerdings nicht im Bild sind.","Die Leute spielen im Pool, einer ist ein Mann mit einem blauen Hemd und die anderen sind Frauen, aber ihre Köpfe sind nicht in der Kameraaufnahme."
People are standing in front of a sculpture surrounded by water.,Leute stehen vor einer von Wasser umgebenen Skulptur.,Die Menschen stehen vor einer von Wasser umgebenen Skulptur.
A woman looks on as a man with folded arms is talking.,"Eine Frau sieht zu, während ein Mann mit verschränkten Armen spricht.","Eine Frau sieht auf, wie ein Mann mit gefalteten Armen spricht."
Middle-aged man in white shorts and flip-flops looking up the road,Ein Mann mittleren Alters in weißen Shorts und Flip-Flops blickt die Straße hoch.,Mittelalterlicher Mann in weißen Shorts und Flip-Flops auf die Straße schauend
Two men dressed in dark orange coverings and sandals stand near a large reflective sculpture.,"Zwei Männer in dunkeloranger Kleidung und Sandalen stehen neben einer großen, reflektierenden Skulptur.",Zwei Männer in dunkel orangefarbenen Deckungen und Sandalen stehen in der Nähe einer großen Spiegelskulptur.
Two people are spending good time in their boat.,Zwei Personen vergnügen sich auf ihrem Boot.,Zwei Leute verbringen gute Zeit in ihrem Boot.
A man and a woman are standing on the street in the city.,Ein Mann und eine Frau stehen in einer Stadt auf der Straße.,Ein Mann und eine Frau stehen auf der Straße in der Stadt.
Firemen emerge from a subway station.,Feuerwehrmänner kommen aus einer U-Bahnstation.,Feuerwehrleute kommen aus einer U-Bahn-Station heraus.
"Four men, three of whom are wearing prayer caps, are sitting on a blue and olive green patterned mat.","Vier Männer, drei von ihnen mit Gebetskappen, sitzen auf einer blau und olivgrün gemusterten Matte.","Vier Männer, von denen drei Kapuze tragen, sitzen auf einer blauen und Olivengrün-Mustermatte."
This is a large group of people sitting outside on benches.,"Das ist eine große Menschengruppe, die im Freien auf Bänken sitzt.","Dies ist eine große Gruppe von Leuten, die draußen auf Bänke sitzen."
"A man in a red shirt walks past a turquoise and white checkered food establishment called ""32 De Neude.""","Ein Mann in einem roten Shirt geht an einem türkis und weiß karierten Imbissladen Namens ""32 De Neude"" vorbei.","Ein Mann in rotem Hemd geht vorbei an einem türkisfarbenen und weiß gecheckten Lebensmittelgeschäft namens ""32 De Neude""."
Doctors performing some type of surgery.,Ärzte bei einer Art Operation.,"Ärzte, die eine Art von Operation durchführen."
An older man with a cigarette in his mouth and a ball cap inspects his camera.,Ein älterer Mann mit einer Zigarette im Mund und einer Mütze inspiziert seine Kamera.,Ein älterer Mann mit einer Zigarette im Mund und einer Kugelmütze prüft seine Kamera.
Small orchestra playing with open violin case in front,Kleines Orchester spielt im Freien mit einem Gitarrenkoffer auf dem Boden.,Kleines Orchester mit offenem Geigenkasten vorne
A man with a red suit is dancing with a lady.,Ein Mann in einem roten Anzug tanzt mit einer Dame.,Ein Mann mit rotem Anzug tanzt mit einer Dame.
Two people look on in the nighttime at the lights in a city.,Zwei Personen betrachten die Lichter einer Stadt bei Nacht.,Zwei Menschen schauen in der Nacht auf die Lichter in einer Stadt.
"Two motocross bikers wearing full protective gear, with one in midair after a jump and the other looking down at his motorcycle.","Zwei Motocrossfahrer in voller Schutzkleidung, einer von ihnen ist nach einem Sprung in der Luft, der andere blickt auf sein Motorrad hinunter.","Zwei Motocross-Fahrer mit voller Schutzausrüstung, einer in der Luft nach einem Sprung und der andere mit Blick auf sein Motorrad."
Several men dressed in orange gather for an outdoor social event.,Mehrere Männer in Orange versammeln sich im Freien für ein gesellschaftliches Ereignis.,Mehrere Männer in orange gekleidet versammeln sich für eine gesellschaftliche Veranstaltung im Freien.
Two young girls run on a sidewalk outside of a brick building with banners on it.,Zwei junge Mädchen rennen auf einem Gehsteig vor einem Ziegelgebäude mit Plakaten.,Zwei junge Mädchen laufen auf dem Bürgersteig vor einem Ziegelgebäude mit Bannern.
Two individual climbing up a steep mountain.,Zwei Personen klettern einen steilen Berg hoch.,Zwei Einzelpersonen klettern auf einen steilen Berg.
A child is laying on the ground next to a stroller.,Ein Kind liegt auf dem Boden neben einem Sportwagen.,Ein Kind liegt neben einem Kinderwagen auf dem Boden.
A dog begging to a man and a woman.,Ein Hund bettelt bei einem Mann und einer Frau.,Ein Hund bittet um einen Mann und eine Frau.
A lot of people at the market looking at various different things.,"Viele Leute auf dem Markt, die verschiedene Dinge betrachten.",Viele Leute auf dem Markt schauen auf verschiedene verschiedene Dinge.
Two young men play electric guitars on stage.,Zwei junge Männer spielen E-Gitarren auf einer Bühne.,Zwei junge Männer spielen elektrische Gitarren auf der Bühne.
A tattooed man pouring beer out of a bottle into a young man's mouth.,Ein tätowierter Mann gießt Bier aus einer Flasche in den Mund eines jungen Mannes.,Ein Tätowierer gießt Bier aus einer Flasche in den Mund eines jungen Mannes.
Two people standing outside next to blow up toys and dumpsters.,Zwei Personen stehen draußen neben aufblasbaren Spielsachen und Baggern.,"Zwei Leute stehen draußen neben, um Spielzeug und Abfallbehälter aufzublasen."
Four people are riding bicycles on a bike path near a busy street.,Vier Personen fahren Rad auf einem Radweg neben einer viel befahrenen Straße.,Vier Personen fahren auf einem Radweg in der Nähe einer belebten Straße mit dem Fahrrad.
Woman in a pink shirt and wearing glasses.,Frau mit Brille in einem pinken Hemd.,Frau in einem rosa Hemd und mit Brillen.
A woman in a red shirt raising her arm to the passing crowd below.,Eine Frau in einem roten Shirt hebt ihren Arm in Richtung der unten vorbeiziehenden Menge.,Eine Frau in rotem Hemd hebt ihren Arm auf die vorbeifahrende Menge unten.
A boy in white shorts is jumping into a lake or river.,Ein Junge in weißen Shorts springt in einen See oder einen Fluss.,Ein Junge in weißen Shorts springt in einen See oder Fluss.
A little girl is looking through a telescope at the beach.,Ein kleines Mädchen blickt durch ein Teleskop auf den Strand.,Ein kleines Mädchen schaut durch ein Teleskop am Strand.
Several construction workers with orange safety vests are digging into the ground.,Mehrere Bauarbeiter in orangen Sicherheitswesten graben im Boden.,Mehrere Bauarbeiter mit orangefarbenen Sicherheitswesten graben in den Boden.
A person in a hood is standing in front of a run down building.,Eine Person mit Kapuze steht vor einem heruntergekommenen Gebäude.,Eine Person in einer Kapuze steht vor einem abgerissenen Gebäude.
Construction workers picketing against PM Construction Services.,Bauarbeiter streiken gegen PM Construction Services.,Bauarbeiter picketing gegen PM Construction Services.
A man riding a running horse with some other men doing the same behind him.,Ein Mann auf einem Rennpferd mit anderen Männern auf Pferden hinter ihm.,"Ein Mann, der auf einem laufenden Pferd mit anderen Männern dasselbe hinter sich macht."
An African American man walking down the street.,Ein Afroamerikaner geht die Straße hinunter.,Ein afroamerikanischer Mann geht die Straße hinunter.
Two nuns are posing for a picture.,Zwei Nonnen posieren für ein Foto.,Zwei Nonnen posieren für ein Bild.
A woman with neon headphones writes in a notebook.,Eine Frau mit neonfarbenen Kopfhörern schreibt in einen Block.,Eine Frau mit Neon Kopfhörern schreibt in einem Notizbuch.
A woman in a green-patterned shirt is talking on a cellphone.,Eine Frau in einem grün gemusterten Hemd telefoniert mit dem Handy.,Eine Frau in einem grün gefärbten Hemd spricht auf einem Handy.
A small African child carries a younger child on his back.,Ein kleines afrikanisches Kind trägt ein jüngeres Kind auf dem Rücken.,Ein kleines afrikanisches Kind trägt ein jüngeres Kind auf seinem Rücken.
A group of people are sitting in chairs.,"Eine Gruppe von Leuten, die auf Stühlen sitzen.",Eine Gruppe von Leuten sitzt auf Stühlen.
A person in a bandanna stands on the street in front his things.,Eine Mann mit einem Kopftuch steht auf der Straße vor seinen Sachen.,Eine Person in einer Bandanna steht auf der Straße vor seinen Sachen.
