de,en,predicted_de
Ein Mann mit einer Zigarette im Mund macht sich einen Teller mit Essen.,A man with a cigarette in his mouth fixing a plate of food.,"Ein Mann mit einer Zigarette im Mund, der etwas von Essen repariert"
Zwei Gruppen von Schwimmern waten ins Wasser.,Two groups of swimmers wade out.,Zwei Gruppen von Schwimmbecken nähmen sich zu. 
Menschen sitzen auf einer Bank auf einem Platz in der Stadt während in der Nähe zufällige Gegenstände wie eine Lampe und ein Mannequin stehen.,People sit on a bench in a city square with random objects including a lamp and a dressmakers form standing nearby.,"Menschen sind auf einer Bank im Stadtplatz, während"
Die Arbeiter stehen um ein Loch mit einem Eimer herum.,The workers are surrounding a hole with a bucket.,Die Arbeiter um einen Loch mit einem Eimer herumt sich. 
Ein Mann ohne Hemd in schwarzen Shorts steht an einer felsigen Küste neben einem großen Gewässer.,A shirtless man in black shorts is standing on the rocky shore to a large body of water.,Ein Mann mit freiem Oberkörper steht an einem großen Gew
Ein Wachmann hält Wache während seiner Schicht.,A guard is on the look out while on duty.,Ein Schutzwarte bei der Befestigung sieht auf die
"Leute spielen Pool, einer davon ist ein Mann in einem blauen Hemd, der Rest sind Frauen, deren Köpfe allerdings nicht im Bild sind.","People playing pool, one is a man wearing a blue shirt and the others are women but their heads are not within the camera shot.",Menschen spielen Pool und ein Mann in blauem Hemd trägt s
Leute stehen vor einer von Wasser umgebenen Skulptur.,People are standing in front of a sculpture surrounded by water.,"Menschen stehen vor einem Skulptur, umgeben von Wasser herum"
"Eine Frau sieht zu, während ein Mann mit verschränkten Armen spricht.",A woman looks on as a man with folded arms is talking.,"Eine Frau blickt ein Mann mit gefoldten Armeen, die"
Ein Mann mittleren Alters in weißen Shorts und Flip-Flops blickt die Straße hoch.,Middle-aged man in white shorts and flip-flops looking up the road,Ein Mann mittleren Alters mit weißen Shorts und Schuhen be
"Zwei Männer in dunkeloranger Kleidung und Sandalen stehen neben einer großen, reflektierenden Skulptur.",Two men dressed in dark orange coverings and sandals stand near a large reflective sculpture.,"Zwei Männer, die dunklen orangen Hosen und Sandalten tr"
Zwei Personen vergnügen sich auf ihrem Boot.,Two people are spending good time in their boat.,"Zwei Menschen machen gesunde Zeit im Boot. 


"
Ein Mann und eine Frau stehen in einer Stadt auf der Straße.,A man and a woman are standing on the street in the city.,Ein Mann und eine Frau stehen an der Straße im Stadt.
Feuerwehrmänner kommen aus einer U-Bahnstation.,Firemen emerge from a subway station.,Feuerwehrleute werden vom U-Bahnstation erkennen.
"Vier Männer, drei von ihnen mit Gebetskappen, sitzen auf einer blau und olivgrün gemusterten Matte.","Four men, three of whom are wearing prayer caps, are sitting on a blue and olive green patterned mat.","Vier Männer, drei von demen mit Erlöserkapp"
"Das ist eine große Menschengruppe, die im Freien auf Bänken sitzt.",This is a large group of people sitting outside on benches.,Eine große Gruppe von Menschen sitzt draußen am Bü
"Ein Mann in einem roten Shirt geht an einem türkis und weiß karierten Imbissladen Namens ""32 De Neude"" vorbei.","A man in a red shirt walks past a turquoise and white checkered food establishment called ""32 De Neude.""",Ein Mann mit einem roten Hemd geht an einer neue Küche
Ärzte bei einer Art Operation.,Doctors performing some type of surgery.,"Arzten, die ein etwas ärzteoperaert wer"
Ein älterer Mann mit einer Zigarette im Mund und einer Mütze inspiziert seine Kamera.,An older man with a cigarette in his mouth and a ball cap inspects his camera.,Ein älterer Mann mit einem Zigarette im Mund und dem Ballmüt
Kleines Orchester spielt im Freien mit einem Gitarrenkoffer auf dem Boden.,Small orchestra playing with open violin case in front,Ein kleines Orchester spielt mit einem freien Geigenbogen v
Ein Mann in einem roten Anzug tanzt mit einer Dame.,A man with a red suit is dancing with a lady.,"Ein Mann in einem roten Anzug tanzen mit einer Dame. 

"
Zwei Personen betrachten die Lichter einer Stadt bei Nacht.,Two people look on in the nighttime at the lights in a city.,Zwei Menschen blicken im Nacht bei den Städten eines stad
"Zwei Motocrossfahrer in voller Schutzkleidung, einer von ihnen ist nach einem Sprung in der Luft, der andere blickt auf sein Motorrad hinunter.","Two motocross bikers wearing full protective gear, with one in midair after a jump and the other looking down at his motorcycle.",Zwei Motocross-Fahrer tragen volles Schutzrittfah
Mehrere Männer in Orange versammeln sich im Freien für ein gesellschaftliches Ereignis.,Several men dressed in orange gather for an outdoor social event.,"Mehrere Männer, die ein Orangen gekleidet w"
Zwei junge Mädchen rennen auf einem Gehsteig vor einem Ziegelgebäude mit Plakaten.,Two young girls run on a sidewalk outside of a brick building with banners on it.,Zwei kleine Mädchen rennen draußen an einem Gehwe
Zwei Personen klettern einen steilen Berg hoch.,Two individual climbing up a steep mountain.,"Zwei Personen klettern eine hohe Berg hoch. 

"
Ein Kind liegt auf dem Boden neben einem Sportwagen.,A child is laying on the ground next to a stroller.,"Ein Kind liegt neben einem Stußenwagen am Boden. 

"
Ein Hund bettelt bei einem Mann und einer Frau.,A dog begging to a man and a woman.,Ein Hund begißt eine Mädchen und einer Mann zu
"Viele Leute auf dem Markt, die verschiedene Dinge betrachten.",A lot of people at the market looking at various different things.,Viele Leute befinden sich in der Markt aus verschiedener et
Zwei junge Männer spielen E-Gitarren auf einer Bühne.,Two young men play electric guitars on stage.,Zwei junge Männer spielen auf der Bühne Elekt
Ein tätowierter Mann gießt Bier aus einer Flasche in den Mund eines jungen Mannes.,A tattooed man pouring beer out of a bottle into a young man's mouth.,"Ein Mann mit Tätowüren, der eine Brau in seinen Mund"
Zwei Personen stehen draußen neben aufblasbaren Spielsachen und Baggern.,Two people standing outside next to blow up toys and dumpsters.,Zwei Menschen stehen draußen an einem Spielzeug und Eimer a
Vier Personen fahren Rad auf einem Radweg neben einer viel befahrenen Straße.,Four people are riding bicycles on a bike path near a busy street.,Vier Personen fahren Fahrrad an einer Fahrtweg in der N
Frau mit Brille in einem pinken Hemd.,Woman in a pink shirt and wearing glasses.,"Frau mit rosa Oberteil und Brille. 

"
Eine Frau in einem roten Shirt hebt ihren Arm in Richtung der unten vorbeiziehenden Menge.,A woman in a red shirt raising her arm to the passing crowd below.,Eine Frau in einem roten Hemd macht ihre Arm zur Pass
Ein Junge in weißen Shorts springt in einen See oder einen Fluss.,A boy in white shorts is jumping into a lake or river.,Ein Junge in weißen Shorts springt ins See oder Fluss.
Ein kleines Mädchen blickt durch ein Teleskop auf den Strand.,A little girl is looking through a telescope at the beach.,Ein kleines Mädchen betrachtet den Strand durch eine
Mehrere Bauarbeiter in orangen Sicherheitswesten graben im Boden.,Several construction workers with orange safety vests are digging into the ground.,Mehrere Baumarbeiter mit orangen Sicherheitswestens schau
Eine Person mit Kapuze steht vor einem heruntergekommenen Gebäude.,A person in a hood is standing in front of a run down building.,Ein Mensch mit einem Kappe steht vor einer belebten
Bauarbeiter streiken gegen PM Construction Services.,Construction workers picketing against PM Construction Services.,"Bauarbeiter protestieren gegen einem Baugeschäft,"
Ein Mann auf einem Rennpferd mit anderen Männern auf Pferden hinter ihm.,A man riding a running horse with some other men doing the same behind him.,"Ein Mann fährt einen Laufhund, während vor"
Ein Afroamerikaner geht die Straße hinunter.,An African American man walking down the street.,"Ein afroamerikanischer Mann geht die Straße entlang. 


"
Zwei Nonnen posieren für ein Foto.,Two nuns are posing for a picture.,"Zwei Nuns posieren für ein Bild. 


"
Eine Frau mit neonfarbenen Kopfhörern schreibt in einen Block.,A woman with neon headphones writes in a notebook.,Eine Frau mit neonschnellen Schürzen schreibt in einem
Eine Frau in einem grün gemusterten Hemd telefoniert mit dem Handy.,A woman in a green-patterned shirt is talking on a cellphone.,Eine Frau mit einer grünen patternenmännlichen Bluse spr
Ein kleines afrikanisches Kind trägt ein jüngeres Kind auf dem Rücken.,A small African child carries a younger child on his back.,Ein kleines afrikanische Kind trägt einen jüngeren
"Eine Gruppe von Leuten, die auf Stühlen sitzen.",A group of people are sitting in chairs.,"Eine Gruppe von Menschen sitzt auf Stühlen. 


"
Eine Mann mit einem Kopftuch steht auf der Straße vor seinen Sachen.,A person in a bandanna stands on the street in front his things.,Eine Person mit einer Bandaletta steht vor sich ihres Gesch
Eine Person orientalischen Aussehens in einem roten Shirt und schwarzer Hose hockt über einer Handtasche auf dem Beton.,An oriental person in a red shirt and black pants crouching over a purse on concrete.,Eine Orientierungsperson in einem roten Hemd und schwarzen Hosen
Ein schwarzer und ein brauner Hund mit einem Ball.,A black dog and a brown dog with a ball.,Ein schwarzer Hund und eine braune Hund mit einem Ball. 
Ein Mann mit einer schwarzen Weste hält ein Modellflugzeug,A man with a black vest holding a model airplane,"Ein Mann mit schwarzer Weste, der einen Flugzeugmodell h"
Ein Mann auf einem Feld mit einem Flugzeug in Sicht.,A man in a field with an airplane in view.,Ein Mann bei einem Feld mit einer Flugzeuge im Hintergrund
Ein Mann in einem Anzug mit Krawatte und eine Frau mit Gepäck gesellen sich zu anderen Wartenden in der Londoner U-Bahn.,A man in a suit and tie and a woman with luggage join others in waiting in the London Underground.,Ein Mann im Anzug und eine Frau mit Taschen führen
Ein Kind geht auf dem Gehsteig und trägt ein paar amerikanische Flaggen.,A kid is walking down the sidewalk with a few American flags.,Ein Kind geht mit einer paaren Amerikanischen Flagge den Bürger
Ein schwarzer Hund läuft auf grünem Gras mit einem Spielzeug im Maul.,A black dog runs on green grass with a toy in his mouth.,Ein schwarzer Hund rennt mit einem Spielzeug im Maul durch gr
Ein orientalischer Reisender wartet am Wechselschalter bis er dran ist.,An Oriental traveler awaits his turn at the currency exchange.,Ein Orient-Reiseerlehrer wird seines Turnens an den Kont
Ein Hund dreht sich auf dem Gras um einem fliegenden Ball nachzulaufen.,A dog turns on the grass to persue a flying ball.,"Ein Hund zwischen dem Gras werden, um einen flieg"
Eine Gruppe von Studenten sitzt und hört der Sprecherin zu.,A group of students sit and listen to the speaker.,"Eine Gruppe Studenten, die sich und den Redner zu schreiben"
Menschen fahren bei Nacht mit Mopeds die Straße hinunter.,People are driving scooters down the street at night.,Menschen fahren in Nacht die Geländewagen auf der Straße
"Ein großes, graues Seedeck und ein Typ auf dem Fahrrad.",A large gray sea deck and a guy on the bike.,Ein großer grauer Seehauptschiff und einem Fahrradf
"Ein Mann in einem orangen Shirt und ein blonder Junge fahren mit anderen Personen in einem ""Pullman"".","A man in an orange shirt and a blond boy are riding with other people on a ""Pullman"" vehicle.",Ein Mann im orangen Hemd und einem blonder Jungen fahren mit
Ein junger Mann und Frauen nahe einer großen Metallskulptur,A young man and women near a large metal sculpture,Ein junger Mann und eine Frau in der Nähe einer großen
"Ein Boot mit roten, weißen und blauen Segeln dockt an einem Pier an.","A boat with red, white and blue sails docking at a pier.","Ein Boot mit roten, weißen und blauen Schuppeln befind"
Ein Mann mit einer schwarzen Mütze macht ein Foto auf einer belebten Straße.,A man wearing a black hat taking a photo in a busy street.,Ein Mann mit einem schwarzen Hut macht sich an einer beleb
Ein Mann steht auf einer belebten Straße und sieht sich mit in den Nacken gelegten Kopf um.,A man is standing on a busy street looking with his head tilted up.,Ein Mann steht in einer belebten Straße und schaut mit dem
Eine Frau in Schwarz trägt ein kleines Mädchen in einem gelben Kleid auf ihren Schultern.,A woman in black has a little girl in a yellow dress on her shoulders.,Eine schwarze Frau hat ein kleines Mädchen im gelben
Eine Gruppe von Menschen baut auf der Straße Instrumente auf.,A group of people on the street setting up instruments.,"Eine Gruppe von Menschen auf der Straße, die Instrumente berechnen"
"Ein Offroad-Biker hilft einem anderen, der hingefallen ist, auf.",A fallen dirt biker is aided by another.,"Ein von einem Fahrradfahrern, der auf dem Feld hinter"
"Drei Personen gehen einen Gebirgspfad hoch, eine davon blickt auf ihre Kamera.","Three people are walking up a mountain trail, while one woman is looking at her camera.","Drei Personen gehen eine Bergsteig hinunter, während"
Mehrere asiatische Männer in schwarzer Kleidung in einer Art Station.,Several Asian men wearing black clothing in some kind of station.,"Mehrere asiatische Männer, die schwarze Kleidung tragen"
Eine Frau in einem roten Rock geht auf der Straße mit Graffiti im Hintergrund.,A woman in a red skirt is walking on the street with graffiti in the background.,"Eine Frau mit einem roten Rock geht die Straße entlang, im"
Eine rhythmische Sportgymnastin in einem blauen und pinken Outfit vollführt eine Bewegung mit dem Band.,A rhythmic gymnast in a blue and pink outfit performs a ribbon routine.,Ein Rhythmikläuferin im blau-rosa Kleidung fü
